SourceID,Organization,SourceDescription,SourceLink,ContactName,Phone,Email,Address,City,State,ZipCode,Citation,SourceFile
11,Battelle,Saturated hydrocarbon analysis in sediment samples collected for ANIMIDA III in 2015,http://www.battelle.org/,Scott Libby and Greg Durell,1-781-681-5400,libby@battelle.org,"141 Longwater Drive, Suite 202",Norwell,MA,02061-1632,"Durell, G., and S. Libby, Saturated hydrocarbon analysis in sediment samples collected for ANIMIDA III in 2015.",S15-0349FID-Master_202-Final.xlsx
12,Battelle,"PAH, alkylated PAH and Biomarkers in sediment samples collected for ANIMIDA III in 2015",http://www.battelle.org/,Scott Libby and Greg Durell,1-781-681-5400,libby@battelle.org,"141 Longwater Drive, Suite 202",Norwell,MA,02061-1632,"Durell, G., and S. Libby, PAH, alkylated PAH and Biomarkers in sediment samples collected for ANIMIDA III in 2015.",S15-0349MS-Forensic_157-Final.xlsx
13,Battelle,Saturated hydrocarbon analysis in sediment samples collected for ANIMIDA III in 2015,http://www.battelle.org/,Scott Libby and Greg Durell,1-781-681-5400,libby@battelle.org,"141 Longwater Drive, Suite 202",Norwell,MA,02061-1632,"Durell, G., and S. Libby, Saturated hydrocarbon analysis in sediment samples collected for ANIMIDA III in 2015.",S15-0350FID-Master_202-Final.xlsx
14,Battelle,"PAH, alkylated PAH and Biomarkers in sediment samples collected for ANIMIDA III in 2015",http://www.battelle.org/,Scott Libby and Greg Durell,1-781-681-5400,libby@battelle.org,"141 Longwater Drive, Suite 202",Norwell,MA,02061-1632,"Durell, G., and S. Libby, PAH, alkylated PAH and Biomarkers in sediment samples collected for ANIMIDA III in 2015.",S15-0350MS-Forensic_157-Final.xlsx
15,Battelle,Saturated hydrocarbon analysis in tissue samples collected for ANIMIDA III in 2015,http://www.battelle.org/,Scott Libby and Greg Durell,1-781-681-5400,libby@battelle.org,"141 Longwater Drive, Suite 202",Norwell,MA,02061-1632,"Durell, G., and S. Libby, Saturated hydrocarbon analysis in tissue samples collected for ANIMIDA III in 2015.",T15-0347FID-Master_202-Final.xlsx
16,Battelle,"PAH, alkylated PAH and Biomarkers in tissue samples collected for ANIMIDA III in 2015",http://www.battelle.org/,Scott Libby and Greg Durell,1-781-681-5400,libby@battelle.org,"141 Longwater Drive, Suite 202",Norwell,MA,02061-1632,"Durell, G., and S. Libby, PAH, alkylated PAH and Biomarkers in tissue samples collected for ANIMIDA III in 2015.",T15-0347MS-Forensic_157-Final.xlsx
17,"Department of Marine and Environmental Systems, College of Engineering",Trace metal concentrations within organisms collected for the ANIMIDA III project.,http://coe.fit.edu/dmes/,John H. Trefry,1-321-674-7305 ,jtrefry@fit.edu,"Florida Institute of Technology, 150 West University Boulevard",Melbourne,FL,32901-6975,"Trefry, J. H., Biota metal concentrations in samples collected for ANIMIDA III in 2014.",Trefry-ANIMIDA-III-2014-Biota-Metal-Data.xlsb
18,"Department of Marine and Environmental Systems, College of Engineering","Sediment metal concentrations, total organic carbon concentrations, and grain-size distribution in sediment samples collected for ANIMIDA III in 2014.",http://coe.fit.edu/dmes/,John H. Trefry,1-321-674-7305 ,jtrefry@fit.edu,"Florida Institute of Technology, 150 West University Boulevard",Melbourne,FL,32901-6975,"Trefry, J. H., Sediment metal concentrations, total organic carbon concentrations and grain-size distribution in sediment samples collected for ANIMIDA III in 2014.",Trefry-ANIMIDA-III-2014-Sediment-Parameter-Data.xlsb
19,The University of Texas Marine Science Institute,"Stable isotope, sediment chemistry, and sediment pigment data collected for the ANIMIDA III project.",http://www.utmsi.utexas.edu/,Kenneth Dunton,1-361-749-6744,ken.dunton@utexas.edu,750 Channelview Dr.,Port Aransas,TX,78373,"Dunton, K.D., 2016. Stable isotope, sediment chemistry, and sediment pigment data collected for the ANIMIDA III project.",ANIMIDA III_All data.xlsx
20,"Department of Marine and Environmental Systems, College of Engineering","Total suspended solids, particulate metals, dissolved metals, particulate nitrogen, phosphorus and organic carbon concentrations from river and water column samples collected as part of ANIMIDA III in 2015.",http://coe.fit.edu/dmes/,John H. Trefry,1-321-674-7305 ,jtrefry@fit.edu,"Florida Institute of Technology, 150 West University Boulevard",Melbourne,FL,32901-6975,"Trefry, J. H., Total suspended solids, particulate metals, dissolved metals, particulate nitrogen, phosphorus and organic carbon concentrations from river and water column samples collected as part of ANIMIDA III in 2015.",Trefry-ANIMIDA-III-2015-Particulate-and Dissolved-Parameter-Data.xlsb
21,"Department of Marine and Environmental Systems, College of Engineering",Trace metal concentrations within organisms collected for the ANIMIDA III project.,http://coe.fit.edu/dmes/,John H. Trefry,1-321-674-7305 ,jtrefry@fit.edu,"Florida Institute of Technology, 150 West University Boulevard",Melbourne,FL,32901-6975,"Trefry, J. H., Biota metal concentrations in samples collected for ANIMIDA III in 2015.",Trefry-ANIMIDA-III-2015-Biota-Metal-Data.xlsb
22,"Department of Marine and Environmental Systems, College of Engineering","Sediment metal concentrations, total organic carbon concentrations, and grain-size distribution in sediment samples collected for ANIMIDA III in 2015.",http://coe.fit.edu/dmes/,John H. Trefry,1-321-674-7305 ,jtrefry@fit.edu,"Florida Institute of Technology, 150 West University Boulevard",Melbourne,FL,32901-6975,"Trefry, J. H., Sediment metal concentrations, total organic carbon concentrations and grain-size distribution in sediment samples collected for ANIMIDA III in 2015.",Trefry-ANIMIDA-III-2015-Sediment-Parameter-Data.xlsb
23,"Department of Marine and Environmental Systems, College of Engineering","Total suspended solids, particulate metals and particulate organic carbon concentrations from water column samples collected as part of ANIMIDA III in 2014.",http://coe.fit.edu/dmes/,John H. Trefry,1-321-674-7305 ,jtrefry@fit.edu,"Florida Institute of Technology, 150 West University Boulevard",Melbourne,FL,32901-6975,"Trefry, J.H., Total suspended solids, particulate metals and particulate organic carbon concentrations from water column samples collected as part of ANIMIDA III in 2014.",Trefry-ANIMIDA-III-2014-Particulate-Parameter-Data.xlsb
25,UiT The Arctic University of Norway and University of Alaska Fairbanks,Benthic epifauna abundance from 2014 ANIMIDA III project,"http://arcticstudies.org/animida_iii/, https://uit.no/om/enhet/ansatte/person?p_document_id=384289&p_dimension_id=88165",Bodil A. Bluhm,47-776-44382 / 1-907-474-5192,bodil.bluhm@uit.no /  kbiken@alaska.edu,"Hansine Hansens veg 18, P. O. Box 6050 / 905 Koyukuk Dr., O'Neill Building","Langnes, Tromsoe / Fairbanks ",Norway / Alaska USA,9037 / 99775,Bluhm BA 2016. Trawl-estimated abundance of benthic epifauna  in the Alaskan Beaufort Sea collected for the Arctic Nearshore Impact Monitoring in Development Area III (ANIMIDA III) project in 2014.,Bluhm-ANIMIDA-III-2014-Epibenthos-Abundance-by-taxon.xlsb
26,UiT The Arctic University of Norway and University of Alaska Fairbanks,Benthic epifauna biomass from 2014 ANIMIDA III project,"http://arcticstudies.org/animida_iii/, https://uit.no/om/enhet/ansatte/person?p_document_id=384289&p_dimension_id=88165",Bodil A. Bluhm,47-776-44382 / 1-907-474-5192,bodil.bluhm@uit.no /  kbiken@alaska.edu,"Hansine Hansens veg 18, P. O. Box 6050 / 905 Koyukuk Dr., O'Neill Building","Langnes, Tromsoe / Fairbanks ",Norway / Alaska USA,9037 / 99775,Bluhm BA 2016. Trawl-estimated biomass of benthic epifauna  in the Alaskan Beaufort Sea collected for the Arctic Nearshore Impact Monitoring in Development Area III (ANIMIDA III) project in 2014.,Bluhm-ANIMIDA-III-2014-Epibenthos-Biomass-by-taxon.xlsb
27,UiT The Arctic University of Norway and University of Alaska Fairbanks,Demersal fish abundance from 2014 ANIMIDA III project,"http://arcticstudies.org/animida_iii/, https://uit.no/om/enhet/ansatte/person?p_document_id=384289&p_dimension_id=88165",Bodil A. Bluhm,47-776-44382 / 1-907-474-5192,bodil.bluhm@uit.no /  kbiken@alaska.edu,"Hansine Hansens veg 18, P. O. Box 6050 / 905 Koyukuk Dr., O'Neill Building","Langnes, Tromsoe / Fairbanks ",Norway / Alaska USA,9037 / 99775,Bluhm BA 2016. Trawl-estimated abundance of demersal fishes  in the Alaskan Beaufort Sea collected for the Arctic Nearshore Impact Monitoring in Development Area III (ANIMIDA III) project in 2014.,Bluhm-ANIMIDA-III-2014-Fish-Abundance-by-species.xlsb
28,UiT The Arctic University of Norway and University of Alaska Fairbanks,Benthic epifauna abundance from 2015 ANIMIDA III project,"http://arcticstudies.org/animida_iii/, https://uit.no/om/enhet/ansatte/person?p_document_id=384289&p_dimension_id=88165",Bodil A. Bluhm,47-776-44382 / 1-907-474-5192,bodil.bluhm@uit.no /  kbiken@alaska.edu,"Hansine Hansens veg 18, P. O. Box 6050 / 905 Koyukuk Dr., O'Neill Building","Langnes, Tromsoe / Fairbanks ",Norway / Alaska USA,9037 / 99775,Bluhm BA 2016. Trawl-estimated abundance of benthic epifauna  in the Alaskan Beaufort Sea collected for the Arctic Nearshore Impact Monitoring in Development Area III (ANIMIDA III) project in 2015.,Bluhm-ANIMIDA-III-2015-Epibenthos-Abundance-by-taxon_R1.xlsb
29,UiT The Arctic University of Norway and University of Alaska Fairbanks,Benthic epifauna biomass from 2015 ANIMIDA III project,"http://arcticstudies.org/animida_iii/, https://uit.no/om/enhet/ansatte/person?p_document_id=384289&p_dimension_id=88165",Bodil A. Bluhm,47-776-44382 / 1-907-474-5192,bodil.bluhm@uit.no /  kbiken@alaska.edu,"Hansine Hansens veg 18, P. O. Box 6050 / 905 Koyukuk Dr., O'Neill Building","Langnes, Tromsoe / Fairbanks ",Norway / Alaska USA,9037 / 99775,Bluhm BA 2016. Trawl-estimated biomass of benthic epifauna  in the Alaskan Beaufort Sea collected for the Arctic Nearshore Impact Monitoring in Development Area III (ANIMIDA III) project in 2015.,Bluhm-ANIMIDA-III-2015-Epibenthos-Biomass-by-taxon_R1.xlsb
30,UiT The Arctic University of Norway and University of Alaska Fairbanks,Demersal fish abundance from 2015 ANIMIDA III project,"http://arcticstudies.org/animida_iii/, https://uit.no/om/enhet/ansatte/person?p_document_id=384289&p_dimension_id=88165",Bodil A. Bluhm,47-776-44382 / 1-907-474-5192,bodil.bluhm@uit.no /  kbiken@alaska.edu,"Hansine Hansens veg 18, P. O. Box 6050 / 905 Koyukuk Dr., O'Neill Building","Langnes, Tromsoe / Fairbanks ",Norway / Alaska USA,9037 / 99775,Bluhm BA 2016. Trawl-estimated abundance of demersal fishes  in the Alaskan Beaufort Sea collected for the Arctic Nearshore Impact Monitoring in Development Area III (ANIMIDA III) project in 2015.,Bluhm-ANIMIDA-III-2015-Fish-Abundance-by-species.xlsb
31,The University of Texas Marine Science Institute,Infaunal abundance and biomass data collected for the ANIMIDA III project.,http://www.utmsi.utexas.edu/,Susan Schonberg,1-361-749-6821,susan.schonberg@utexas.edu,750 Channel View Drive,Port Aransas,TX,78373,"Schonberg, S., 2015. Infaunal abundance and biomass data collected for the ANIMIDA III project.",ANIMIDA 2014 2015 Infauna.xlsx
32,University of Alaska Fairbanks,Seawater nutrient data collected for the ANIMIDA III project in 2014,http://www.uaf.edu/,Jeremy Kasper,1-907-888-2534,jlkasper@alaska.edu,"University of Alaska Fairbanks, PO Box 755910",Fairbanks,AK,99775-5910,"Kasper, J., 2015. Seawater nutrient data collected for the ANIMIDA III project in 2014",KASPER2014_Nuts_Report_corr2017.xlsx
33,University of Alaska Fairbanks,Seawater nutrient data collected for the ANIMIDA III project in 2015,http://www.uaf.edu/,Jeremy Kasper,1-907-888-2534,jlkasper@alaska.edu,"University of Alaska Fairbanks, PO Box 755910",Fairbanks,AK,99775-5910,"Kasper, J., 2015. Seawater nutrient data collected for the ANIMIDA III project in 2015",2015_animida_log_nutrients.xlsx
