LabMethodID,LabName,LabOrganization,LabMethodName,LabMethodDescription,LabMethodLink
17,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 9060A,Analyzed from dry weight of sample using a Shimadzu TOC-5050A with SSM-5000A solid sampling module.,
18,Marine and Environmental Chemistry,Florida Institute of Technology,Sieve and pipette analysis,Sieve and pipette analysis; 2.0 mm mesh sieve and 63 um mesh sieve,
19,"Battelle, Norwell, MA",Battelle,5-157,"Reference: Modified EPA Method 8270D.  The sediment samples were extracted following a modified EPA Method 3510C.  Samples were prepared for analysis by weighing approximately 30 grams of sample material into a pre-cleaned extraction vessel and dried using sodium sulfate.  Each sample was spiked with PAH and SHC surrogates and extracted 3 times using methylene chloride by shaker table.  The combined extracts were dried over sodium sulfate and concentrated by Kuderna-Danish (KD) and nitrogen evaporation techniques.  Sample clean-up was performed on the extracts using alumina columns. Extracts were further cleaned up and fractionated using silica gel columns. The F1 fraction was collected and split for TPH/SHC and biomarker analyses. The F2 fraction was collected for PAH and alkyated PAH analysis. The extracts were concentrated and spiked with IS for analysis. PAH, alkylated PAH (F2 fraction) and Biomarkers (F1 fraction) were measured by gas chromatography-mass spectrometry (GC/MS) in the selected ion mode (SIM). An initial calibration consisting of target analytes was analyzed prior to analysis to demonstrate the linear range of analysis. Calibration verification was performed every 24 hours in which samples were analyzed. Concentrations of target compounds were calculated versus internal standards. Target PAH were quantified using the average response factors (RF) generated from the initial calibration. The alkyl homologue PAH series were assigned the RF of the parent PAH.  Biomarkers used RFs from the single individual biomarkers within the calibration standard curve.  All reported data (except NSC and CO) is corrected based on surrogate recoveries.  All data is reported on dry weight basis except the NSC and CO (oil weight).",
20,"Battelle, Norwell, MA",Battelle,5-157,"Reference: Modified EPA Method 8270D.  Samples were prepared for analysis by weighing approximately 30 grams of sample material into a pre-cleaned extraction vessel and dried using sodium sulfate.  Each sample was spiked with PAH, Biomarker and SHC surrogates and extracted 3 times using methylene chloride by shaker table.  The combined extracts were dried over sodium sulfate and concentrated by Kuderna-Danish (KD) and nitrogen evaporation techniques.  Sample clean-up was performed on the extracts using alumina columns. Extracts were further cleaned up and fractionated using silica gel columns. The F1 fraction was collected and split for TPH/SHC and biomarker analyses. The F2 fraction was collected for PAH and alkylated PAH analysis. The extracts were concentrated and spiked with IS for analysis.  PAH, alkylated PAH (F2 fraction) and Biomarkers (F1 fraction) were measured by gas chromatography-mass spectrometry (GC/MS) in the selected ion mode (SIM). An initial calibration consisting of target analytes was analyzed prior to analysis to demonstrate the linear range of analysis. Calibration verification was performed every 24 hours in which samples were analyzed. Concentrations of target compounds were calculated versus internal standards. Target PAH were quantified using the average response factors (RF) generated from the initial calibration. The alkyl homologue PAH series were assigned the RF of the parent PAH.  Biomarkers used RFs from the single individual biomarkers within the calibration standard curve.  All reported data (except NSC and CO) is corrected based on surrogate recoveries.  All data is reported on dry weight basis except the NSC and CO (oil weight).",
21,"Battelle, Norwell, MA",Battelle,5-202,"Reference: Modified EPA Method 8015C.  Samples were prepared for analysis by weighing approximately 30 grams of sample material into a pre-cleaned extraction vessel and dried using sodium sulfate.  Each sample was spiked with PAH, Biomarker and SHC surrogates and extracted 3 times using methylene chloride by shaker table.  The combined extracts were dried over sodium sulfate and concentrated by Kuderna-Danish (KD) and nitrogen evaporation techniques.  Sample clean-up was performed on the extracts using alumina columns. Extracts were further cleaned up and fractionated using silica gel columns. The F1 fraction was collected and split for TPH/SHC and biomarker analyses. The F2 fraction was collected for PAH and alkyated PAH analysis. The extracts were concentrated and spiked with IS for analysis.  TPH/SHC was measured by gas chromatography with flame ionization detection (GC/FID). An initial calibration consisting of target analytes was completed prior to analysis to demonstrate the linear range of analysis. Calibration verification was performed at the beginning and end of each 24 hour period (or 10 samples) in which samples were analyzed. Concentrations of TPH/SHC were calculated by the internal standard method. Normal alkanes were quantified using the average RF generated from the initial calibration. TPH concentrations were quantified using the average RF of nC9 through nC40.  All data are reported as surrogate corrected and on a dry wt. basis.  The NSC and CO are reported as not surrogate corrected on an oil weight basis.",
22,"Battelle, Norwell, MA",Battelle,5-157,"Reference: Modified EPA Method 8270D.  The sediment samples were extracted following a modified EPA Method 3510C.  Samples were prepared for analysis by weighing approximately 30 grams of sample material into a pre-cleaned extraction vessel and dried using sodium sulfate.  Each sample was spiked with PAH, Biomarker and SHC surrogates and extracted 3 times using methylene chloride by shaker table.  The combined extracts were dried over sodium sulfate and concentrated by Kuderna-Danish (KD) and nitrogen evaporation techniques.  Sample clean-up was performed on the extracts using alumina columns. Extracts were further cleaned up and fractionated using silica gel columns. The F1 fraction was collected and split for TPH/SHC and biomarker analyses. The F2 fraction was collected for PAH and alkyated PAH analysis. The extracts were concentrated and spiked with IS for analysis. PAH, alkylated PAH (F2 fraction) and Biomarkers (F1 fraction) were measured by gas chromatography-mass spectrometry (GC/MS) in the selected ion mode (SIM). An initial calibration consisting of target analytes was analyzed prior to analysis to demonstrate the linear range of analysis. Calibration verification was performed every 24 hours in which samples were analyzed. Concentrations of target compounds were calculated versus internal standards. Target PAH were quantified using the average response factors (RF) generated from the initial calibration. The alkyl homologue PAH series were assigned the RF of the parent PAH.  Biomarkers used RFs from the single individual biomarkers within the calibration standard curve.  All reported data (except NSC and CO) is corrected based on surrogate recoveries. All data is reported on dry weight basis except the NSC and CO (oil weight).",
23,"Battelle, Norwell, MA",Battelle,5-202,"Reference: Modified EPA Method 8015C.  The sediment samples were extracted following a modified EPA Method 3510C.  Samples were prepared for analysis by weighing approximately 30 grams of sample material into a pre-cleaned extraction vessel and dried using sodium sulfate.  Each sample was spiked with PAH, Biomarker and SHC surrogates and extracted 3 times using methylene chloride by shaker table.  The combined extracts were dried over sodium sulfate and concentrated by Kuderna-Danish (KD) and nitrogen evaporation techniques.  Sample clean-up was performed on the extracts using alumina columns. Extracts were further cleaned up and fractionated using silica gel columns. The F1 fraction was collected and split for TPH/SHC and biomarker analyses. The F2 fraction was collected for PAH and alkyated PAH analysis. The extracts were concentrated and spiked with IS for analysis.  TPH/SHC was measured by gas chromatography with flame ionization detection (GC/FID). An initial calibration consisting of target analytes was completed prior to analysis to demonstrate the linear range of analysis. Calibration verification was performed at the beginning and end of each 24 hour period (or 10 injections) in which samples were analyzed. Concentrations of TPH/SHC were calculated by the internal standard method. Normal alkanes were quantified using the average RF generated from the initial calibration. TPH concentrations were quantified using the average RF of nC9 through nC40.  All data is reported on dry weight basis except the NSC and CO (oil weight).  All reported data (except NSC and CO) are corrected based on surrogate recoveries.",
24,"Battelle, Norwell, MA",Battelle,5-202,"Reference: Modified EPA Method 8015C.  Tissue samples were homogenized with titanium blades and split for metals analysis at Sequim and FIT. Samples were prepared for analysis by weighing approximately 5-20 grams of sample material into a pre-cleaned extraction vessel and dried using sodium sulfate.  Each sample was spiked with PAH, Biomarker and SHC surrogates and extracted 3 times using methylene chloride by tissuemizer.  The combined extracts were dried over sodium sulfate and concentrated by Kuderna-Danish (KD) and nitrogen evaporation techniques.  Sample clean-up was performed on the extracts using alumina columns. Extracts were further cleaned up and fractionated using silica gel columns. The F1 fraction was collected and split for TPH/SHC and biomarker analyses. The F2 fraction was collected for PAH and alkyated PAH analysis. The extracts were concentrated and spiked with IS for analysis.  TPH/SHC was measured by gas chromatography with flame ionization detection (GC/FID). An initial calibration consisting of target analytes was completed prior to analysis to demonstrate the linear range of analysis. Calibration verification was performed at the beginning and end of each 24 hour period (or 10 injections) in which samples were analyzed. Concentrations of TPH/SHC were calculated by the internal standard method. Normal alkanes were quantified using the average RF generated from the initial calibration. TPH concentrations were quantified using the average RF of nC9 through nC40.  All data is reported as surrogate corrected versus dry weight. The NSC and CO are reported as not surrogate corrected versus oil weight.",
25,"Battelle, Norwell, MA",Battelle,5-157,"Reference: Modified EPA Method 8270D.  Tissue samples were homogenized with titanium blades and split for metals analysis at Sequim and FIT. Samples were prepared for analysis by weighing approximately 3-20 grams of sample material into a pre-cleaned extraction vessel and dried using sodium sulfate.  Each sample was spiked with PAH, Biomarker and SHC surrogates and extracted 3 times using methylene chloride by tissuemizer.  The combined extracts were dried over sodium sulfate and concentrated by Kuderna-Danish (KD) and nitrogen evaporation techniques.  Sample clean-up was performed on the extracts using alumina columns. Extracts were further cleaned up and fractionated using silica gel columns. The F1 fraction was collected and split for TPH/SHC and biomarker analyses. The F2 fraction was collected for PAH and alkylated PAH analysis. The extracts were concentrated and spiked with IS for analysis.  There was a bleed through of the F2 fraction into the F1 which resulted in observed low SIS recoveries.  As a corrective action the F1 fraction was combined (TPH and BIO splits) and run through the GPC.  These cleaned up F1 fractions were them combined with the F2 fraction and re-submitted for PAH analysis.  Additional IS was not added. PAH, alkylated PAH (F2 fraction) and Biomarkers (F1 fraction) were measured by gas chromatography-mass spectrometry (GC/MS) in the selected ion mode (SIM). An initial calibration consisting of target analytes was analyzed prior to analysis to demonstrate the linear range of analysis. Calibration verification was performed every 24 hours in which samples were analyzed. Concentrations of target compounds were calculated versus internal standards. Target PAH were quantified using the average response factors (RF) generated from the initial calibration. The alkyl homologue PAH series were assigned the RF of the parent PAH.  Biomarkers used RFs from the single individual biomarkers within the calibration standard curve.  All reported data (except NSC and CO) is corrected based on surrogate recoveries.  All data is reported on dry weight basis except the NSC and CO (oil weight).",
26,"Battelle, Norwell, MA",Battelle,5-202,"Reference: Modified EPA Method 8015C.  Tissue samples were homogenized with titanium blades and split for metals analysis at Sequim and FIT. The tissue samples were extracted following a modified EPA Method 3510C.  Samples were prepared for analysis by weighing approximately 20 grams of sample material into a pre-cleaned extraction vessel and dried using sodium sulfate.  Each sample was spiked with PAH, Biomarker and SHC surrogates and extracted 3 times using methylene chloride by tissuemizer.  The combined extracts were dried over sodium sulfate and concentrated by Kuderna-Danish (KD) and nitrogen evaporation techniques.  Sample clean-up was performed on the extracts using alumina columns. Extracts were further cleaned up and fractionated using silica gel columns. The F1 fraction was collected and split for TPH/SHC and biomarker analyses. The F2 fraction was collected for PAH and alkyated PAH analysis. The extracts were concentrated and spiked with IS for analysis.  TPH/SHC was measured by gas chromatography with flame ionization detection (GC/FID). An initial calibration consisting of target analytes was completed prior to analysis to demonstrate the linear range of analysis. Calibration verification was performed at the beginning and end of each 24 hour period (or 10 injections) in which samples were analyzed. Concentrations of TPH/SHC were calculated by the internal standard method. Normal alkanes were quantified using the average RF generated from the initial calibration. TPH concentrations were quantified using the average RF of nC9 through nC40.  All data is reported as surrogate corrected versus dry wt.  The NSC and CO are reported as not surrogate corrected versus oil weight.",
27,"Battelle, Norwell, MA",Battelle,5-157,"Reference: Modified EPA Method 8270D.  Tissue samples were homogenized with titanium blades and split for metals analysis at Sequim and FIT. The tissue samples were extracted following a modified EPA Method 3510C.  Samples were prepared for analysis by weighing approximately 20 grams of sample material into a pre-cleaned extraction vessel and dried using sodium sulfate.  Each sample was spiked with PAH, Biomarker and SHC surrogates and extracted 3 times using methylene chloride by tissuemizer.  The combined extracts were dried over sodium sulfate and concentrated by Kuderna-Danish (KD) and nitrogen evaporation techniques.  Sample clean-up was performed on the extracts using alumina columns. Extracts were further cleaned up and fractionated using silica gel columns. The F1 fraction was collected and split for TPH/SHC and biomarker analyses. The F2 fraction was collected for PAH and alkyated PAH analysis. The extracts were concentrated and spiked with IS for analysis. PAH, alkylated PAH (F2 fraction) and Biomarkers (F1 fraction) were measured by gas chromatography-mass spectrometry (GC/MS) in the selected ion mode (SIM). An initial calibration consisting of target analytes was analyzed prior to analysis to demonstrate the linear range of analysis. Calibration verification was performed every 24 hours in which samples were analyzed. Concentrations of target compounds were calculated versus internal standards. Target PAH were quantified using the average response factors (RF) generated from the initial calibration. The alkyl homologue PAH series were assigned the RF of the parent PAH.  Biomarkers used RFs from the single individual biomarkers within the calibration standard curve.  All  reported data (except NSC) is corrected based on surrogate recoveries. All data is reported on dry weight basis except the SRM (wet weight) and NSC and CO (oil weight).",
28,"Battelle, Norwell, MA",Battelle,5-202,"Reference: Modified EPA Method 8015C.  Tissue samples were homogenized with titanium blades and split for metals analysis at Sequim and FIT. The tissue samples were extracted following a modified EPA Method 3510C.  Samples were prepared for analysis by weighing approximately 5-20 grams of sample material into a pre-cleaned extraction vessel and dried using sodium sulfate.  Each sample was spiked with PAH, Biomarker and SHC surrogates and extracted 3 times using methylene chloride by tissuemizer.  The combined extracts were dried over sodium sulfate and concentrated by Kuderna-Danish (KD) and nitrogen evaporation techniques.  Sample clean-up was performed on the extracts using alumina columns. Extracts were further cleaned up and fractionated using silica gel columns. The F1 fraction was collected and split for TPH/SHC and biomarker analyses. The F2 fraction was collected for PAH and alkyated PAH analysis. The extracts were concentrated and spiked with IS for analysis.  TPH/SHC was measured by gas chromatography with flame ionization detection (GC/FID). An initial calibration consisting of target analytes was completed prior to analysis to demonstrate the linear range of analysis. Calibration verification was performed at the beginning and end of each 24 hour period (or 10 injections) in which samples were analyzed. Concentrations of TPH/SHC were calculated by the internal standard method. Normal alkanes were quantified using the average RF generated from the initial calibration. TPH concentrations were quantified using the average RF of nC9 through nC40.  All data is reported as surrogate corrected versus dry weight. The NSC and CO are reported as not surrogate corrected versus oil weight.",
29,"Battelle, Norwell, MA",Battelle,5-157,"Reference: Modified EPA Method 8270D.  Tissue samples were homogenized with titanium blades and split for metals analysis at Sequim and FIT. The tissue samples were extracted following a modified EPA Method 3510C.  Samples were prepared for analysis by weighing approximately 20 grams of sample material into a pre-cleaned extraction vessel and dried using sodium sulfate.  Each sample was spiked with PAH, Biomarker and SHC surrogates and extracted 3 times using methylene chloride by tissuemizer.  The combined extracts were dried over sodium sulfate and concentrated by Kuderna-Danish (KD) and nitrogen evaporation techniques.  Sample clean-up was performed on the extracts using alumina columns. Extracts were further cleaned up and fractionated using silica gel columns. The F1 fraction was collected and split for TPH/SHC and biomarker analyses. The F2 fraction was collected for PAH and alkyated PAH analysis. The extracts were concentrated and spiked with IS for analysis.  PAH, alkylated PAH (F2 fraction) and Biomarkers (F1 fraction) were measured by gas chromatography-mass spectrometry (GC/MS) in the selected ion mode (SIM). An initial calibration consisting of target analytes was analyzed prior to analysis to demonstrate the linear range of analysis. Calibration verification was performed every 24 hours in which samples were analyzed. Concentrations of target compounds were calculated versus internal standards. Target PAH were quantified using the average response factors (RF) generated from the initial calibration. The alkyl homologue PAH series were assigned the RF of the parent PAH.  Biomarkers used RFs from the single individual biomarkers within the calibration standard curve.  All reported data (except NSC) is corrected based on surrogate recoveries.  All data is reported on dry weight basis except the SRM (wet weight) and NSC and CO (oil weight).",
30,"Battelle, Norwell, MA",Battelle,5-202,"Reference: Modified EPA Method 8015C.  Samples were prepared for analysis by weighing approximately 30 grams of sample material into a pre-cleaned extraction vessel and dried using sodium sulfate.  Each sample was spiked with PAH, Biomarker and SHC surrogates and extracted 3 times using methylene chloride by shaker table.  The combined extracts were dried over sodium sulfate and concentrated by Kuderna-Danish (KD) and nitrogen evaporation techniques.  Sample clean-up was performed on the extracts using alumina columns. Extracts were further cleaned up and fractionated using silica gel columns. The F1 fraction was collected and split for TPH/SHC and biomarker analyses. The F2 fraction was collected for PAH and alkylated PAH analysis. The extracts were concentrated and spiked with IS for analysis.  TPH/SHC was measured by gas chromatography with flame ionization detection (GC/FID). An initial calibration consisting of target analytes was completed prior to analysis to demonstrate the linear range of analysis. Calibration verification was performed at the beginning and end of each 24 hour period (or 10 samples) in which samples were analyzed. Concentrations of TPH/SHC were calculated by the internal standard method. Normal alkanes were quantified using the average RF generated from the initial calibration. TPH concentrations were quantified using the average RF of nC9 through nC40.  All data are reported as surrogate corrected and on a dry wt. basis.  The NSC and CO are reported as not surrogate corrected on an oil weight basis.",
31,"Battelle, Norwell, MA",Battelle,5-157,"Reference: Modified EPA Method 8270D.  Samples were prepared for analysis by weighing approximately 30 grams of sample material into a pre-cleaned extraction vessel and dried using sodium sulfate.  Each sample was spiked with PAH, Biomarker and SHC surrogates and extracted 3 times using methylene chloride by shaker table.  The combined extracts were dried over sodium sulfate and concentrated by Kuderna-Danish (KD) and nitrogen evaporation techniques.  Sample clean-up was performed on the extracts using alumina columns. Extracts were further cleaned up and fractionated using silica gel columns. The F1 fraction was collected and split for TPH/SHC and biomarker analyses. The F2 fraction was collected for PAH and alkylated PAH analysis. The extracts were concentrated and spiked with IS for analysis. PAH, alkylated PAH (F2 fraction) and Biomarkers (F1 fraction) were measured by gas chromatography-mass spectrometry (GC/MS) in the selected ion mode (SIM). An initial calibration consisting of target analytes was analyzed prior to analysis to demonstrate the linear range of analysis. Calibration verification was performed every 24 hours in which samples were analyzed. Concentrations of target compounds were calculated versus internal standards. Target PAH were quantified using the average response factors (RF) generated from the initial calibration. The alkyl homologue PAH series were assigned the RF of the parent PAH.  Biomarkers used RFs from the single individual biomarkers within the calibration standard curve.  All reported data (except NSC and CO) is corrected based on surrogate recoveries.  All data is reported on dry weight basis except the NSC and CO (oil weight).",
32,The University of Texas Marine Science Institute,The University of Texas at Austin,Sediment chemistry analyses,"After sediment cores were centrifuged to remove pore water, ammonium concentration was determined using the phenol-hypochlorite method (Solorzano, 1967).",
33,The University of Texas Marine Science Institute,The University of Texas at Austin,Sediment pigment analyses,Pigments were extracted from several grams of sediment that were collected using syringe cores in the field. The extracted pigments were analyzed using High Pressure Liquid Chromatography (HPLC).,
34,The University of Texas Marine Science Institute,The University of Texas at Austin,Sediment pore water analyses,Salinity of the pore water was measured using a refractometer,
35,The University of Texas Marine Science Institute,The University of Texas at Austin,Stable isotope analyses,Samples were analyzed on an automated system for coupled del-13C and del-15N measurements using a Finnigan MAT Delta Plus mass spectrometer coupled to an elemental analyzer,
40,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 9060A,Analyzed from dry weight of sample using a Leco TruMac CNS Analyzer.,
41,Marine and Environmental Chemistry,Florida Institute of Technology,Filter weighing,Weighed using a Sartorius M3P 6-place balance.,
48,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 200.9,Dissolved sample analyzed using a Perkin-Elmer AAnalyst Model 800 graphite furnace.,
49,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 440.0,Analyzed from dry weight of sample using a Leco TruMac Carbon/Nitrogen/Sulfur System.,
50,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Dissolved sample analyzed using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.,
51,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Dissolved sample preconcentrated by reductive precipitation then analyzed using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.,
52,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Determined using a Reichert Model 10419 optical refractometer.,
53,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 9060A,Dissolved sample analyzed using a Shimadzu TOC-5050A carbon system.,
55,Institute of Marine Science Bluhm/Iken/Norcross labs,University of Alaska Fairbanks,N/A,"Epibenthic taxa were either collected from the entire haul or a well-mixed subsample. Data presented here have been adjusted for the subsampling fraction.  Species identification and counts per taxon were determined on board, with some identifications improved later in the lab or by taxonomic experts.",
56,Institute of Marine Science Bluhm/Iken/Norcross labs,University of Alaska Fairbanks,N/A,Fishes were always collected from the entire haul.  Species identification and counts per taxon were determined on board.,
58,Institute of Marine Science Bluhm/Iken/Norcross labs,University of Alaska Fairbanks,N/A,"Epibenthic taxa were either collected from the entire haul or a well-mixed subsample. Sub-sample size sometimes varied within a haul depending on abundance of a given taxon (ie.g. very abundant taxa were only sorted from a small fraction).  Data presented here have been adjusted for the subsampling fraction.  Species identification and counts per taxon were determined on board, with some identifications improved later in the lab or by taxonomic experts.",
61,The University of Texas Marine Science Institute,The University of Texas at Austin,Counting,Organisms counted.,
62,The University of Texas Marine Science Institute,The University of Texas at Austin,Weighing,Organisms weighed (wet weight).,
64,Whitledge Lab,University of Alaska Fairbanks - Institute of Marine Science,"Automated nutrient analyses in seawater (Whitledge et al., 1981)","Concentrations of phosphate (PO4), silicate (SiO4), ammonia (NH3), Nitrate (NO3) and Nitrite (NO2) were determined using colorimetric techniques on Technicon AutoAnalyzer II and Alpkem model 300 continuous nutrient analyzers following: Whitledge, T.E., S.C. Malloy, C.J. Patton, C.D. Wirick. 1981. Automated nutrient analyses in seawater. Brookhaven National Laboratory Technical Report BNL 51398",
