,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,Procedural Blank,,Procedural Blank,,,,,
C3-Dibenzothiophenes,,0.07,U,0.07,U,,,,
C4-Dibenzothiophenes,,0.07,U,0.07,U,,,,
Fluoranthene,,0.215,U,0.214,U,,,,
Pyrene,,0.259,U,0.259,U,,,,
C1-Fluoranthenes/Pyrenes,,0.259,U,0.259,U,,,,
C2-Fluoranthenes/Pyrenes,,0.259,U,0.259,U,,,,
C3-Fluoranthenes/Pyrenes,,0.259,U,0.259,U,,,,
Benzo(a)anthracene,,0.178,U,0.178,U,,,,
Chrysene,,0.161,U,0.161,U,,,,
C1-Chrysenes,,0.161,U,0.161,U,,,,
C2-Chrysenes,,0.161,U,0.161,U,,,,
C3-Chrysenes,,0.161,U,0.161,U,,,,
C4-Chrysenes,,0.161,U,0.161,U,,,,
Benzo(b)fluoranthene,,0.188,U,0.188,U,,,,
Benzo(k)fluoranthene,,0.097,U,0.097,U,,,,
Benzo(e)pyrene,,0.147,U,0.146,U,,,,
Benzo(a)pyrene,,0.199,U,0.198,U,,,,
Perylene,,0.171,U,0.171,U,,,,
"Indeno(1,2,3-cd)pyrene",,0.223,U,0.223,U,,,,
"Dibenz(a,h)anthracene",,0.138,U,0.138,U,,,,
"Benzo(g,h,i)perylene",,0.212,U,0.211,U,,,,
Total PAH,,0.104,,0.461,,,,,
"14a(H),17a(H)-20R-Cholestane",,0.11,U,0.11,U,,,,
"13b(H),17a(H)-20S-Diacholestane ",,0.11,U,0.11,U,,,,
"13b(H),17a(H)-20R-Diacholestane",,0.11,U,0.11,U,,,,
"13b(H),17a(H)-20S-Methyldiacholestane",,0.11,U,0.11,U,,,,
"14a(H),17a(H)-20S-Cholestane",,0.11,U,0.11,U,,,,
"14b(H),17b(H)-20R-Cholestane",,0.11,U,0.11,U,,,,
"14b(H),17b(H)-20S-Cholestane",,0.11,U,0.11,U,,,,
"14a(H),17a(H)-20S-methylcholestane",,0.11,U,0.11,U,,,,
"14b(H),17b(H)-20R-Methylcholestane",,0.11,U,0.11,U,,,,
"14b(H),17b(H)-20S-Methylcholestane",,0.11,U,0.11,U,,,,
"14a(H),17a(H)-20R-methylcholestane ",,0.11,U,0.11,U,,,,
"14a(H),17a(H)-20S-Ethylcholestane",,0.11,U,0.11,U,,,,
"14b(H),17b(H)-20R-Ethylcholestane",,0.11,U,0.11,U,,,,
"14b(H),17b(H)-20S-Ethylcholestane",,0.11,U,0.11,U,,,,
"14a(H),17a(H)-20R-Ethylcholestane",,0.11,U,0.11,U,,,,
C23 Tricyclic Terpane,,0.308,U,0.307,U,,,,
C24 Tricyclic Terpane ,,0.308,U,0.307,U,,,,
C25 Tricyclic Terpane,,0.308,U,0.307,U,,,,
C24 Tetracyclic Terpane,,0.308,U,0.307,U,,,,
C26 Tricyclic Terpane-22S,,0.308,U,0.307,U,,,,
C26 Tricyclic Terpane-22R,,0.308,U,0.307,U,,,,
C28 Tricyclic Terpane-22S,,0.308,U,0.307,U,,,,
C28 Tricyclic Terpane-22R,,0.308,U,0.307,U,,,,
C29 Tricyclic Terpane-22S,,0.308,U,0.307,U,,,,
C29 Tricyclic Terpane-22R,,0.308,U,0.307,U,,,,
"Ts-18a(H),21b(H)-22,29,30-Trisnorhopane",,0.308,U,0.307,U,,,,
"Tm-17a(H),21b(H)-22,29,30-Trisnorhopane",,0.308,U,0.307,U,,,,
"17a(H),21b(H)-28,30-Bisnorhopane",,0.308,U,0.307,U,,,,
"17a(H),21b(H)-25-Norhopane",,0.308,U,0.307,U,,,,
30-Norhopane,,0.308,U,0.307,U,,,,
"18a(H),21b(H)-30-Norneohopane (C29Ts)",,0.308,U,0.307,U,,,,
17a(H)-Diahopane,,0.308,U,0.307,U,,,,
30-Normoretane,,0.308,U,0.307,U,,,,
18a(H) & 18b(H)-Oleananes,,0.308,U,0.307,U,,,,
"17a(H),21b(H)-hopane",,0.308,U,0.307,U,,,,
"17b(H),21a(H)-hopane (moretane)",,0.308,U,0.307,U,,,,
30-Homohopane-22S,,0.308,U,0.307,U,,,,
30-Homohopane-22R,,0.308,U,0.307,U,,,,
"30,31-Bishomohopane-22S",,0.308,U,0.307,U,,,,
"30,31-Bishomohopane-22R",,0.308,U,0.307,U,,,,
"30,31,32-Trishomohopane-22S",,0.308,U,0.307,U,,,,
"30,31,32-Trishomohopane-22R",,0.308,U,0.307,U,,,,
"30,31,32,33-Tetrakishomohopane-22S",,0.308,U,0.307,U,,,,
"30,31,32,33-Tetrakishomohopane-22R",,0.308,U,0.307,U,,,,
"30,31,32,33,34-Pentakishomohopane-22S",,0.308,U,0.307,U,,,,
"30,31,32,33,34-Pentakishomohopane-22R",,0.308,U,0.307,U,,,,
Priority Pollutant PAH,,0.104,,0.461,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
Naphthalene-d8,,86,,79,,,,,
Acenaphthene-d10,,87,,84,,,,,
Phenanthrene-d10,,87,,87,,,,,
Benzo(a)pyrene-d12,,64,,83,,,,,
5b(H)-Cholane,,106,,108,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
