,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,Procedural Blank,,Procedural Blank,,,,,
Benzo(a)anthracene,,0.734,U,0.734,U,,,,
Chrysene,,0.594,U,0.594,U,,,,
C1-Chrysenes,,0.594,U,0.594,U,,,,
C2-Chrysenes,,0.594,U,0.594,U,,,,
C3-Chrysenes,,0.594,U,0.594,U,,,,
C4-Chrysenes,,0.594,U,0.594,U,,,,
Benzo(b)fluoranthene,,0.706,U,0.706,U,,,,
Benzo(k)fluoranthene,,0.650,U,0.650,U,,,,
Benzo(e)pyrene,,0.627,U,0.627,U,,,,
Benzo(a)pyrene,,0.459,U,0.459,U,,,,
Perylene,,0.599,U,0.599,U,,,,
"Indeno(1,2,3-cd)pyrene",,0.530,U,0.530,U,,,,
"Dibenz(a,h)anthracene",,0.273,U,0.273,U,,,,
"Benzo(g,h,i)perylene",,0.407,U,0.407,U,,,,
Total PAH,,2.957,,2.558,,,,,
"14a(H),17a(H)-20R-Cholestane",,0.443,U,0.443,U,,,,
"13b(H),17a(H)-20S-Diacholestane ",,0.443,U,0.443,U,,,,
"13b(H),17a(H)-20R-Diacholestane",,0.443,U,0.443,U,,,,
"13b(H),17a(H)-20S-Methyldiacholestane",,0.443,U,0.443,U,,,,
"14a(H),17a(H)-20S-Cholestane",,0.443,U,0.443,U,,,,
"14b(H),17b(H)-20R-Cholestane",,0.443,U,0.443,U,,,,
"14b(H),17b(H)-20S-Cholestane",,0.443,U,0.443,U,,,,
"14a(H),17a(H)-20S-methylcholestane",,0.443,U,0.443,U,,,,
"14b(H),17b(H)-20R-Methylcholestane",,0.443,U,0.443,U,,,,
"14b(H),17b(H)-20S-Methylcholestane",,0.443,U,0.443,U,,,,
"14a(H),17a(H)-20R-methylcholestane ",,0.443,U,0.443,U,,,,
"14a(H),17a(H)-20S-Ethylcholestane",,0.443,U,0.443,U,,,,
"14b(H),17b(H)-20R-Ethylcholestane",,0.443,U,0.443,U,,,,
"14b(H),17b(H)-20S-Ethylcholestane",,0.443,U,0.443,U,,,,
"14a(H),17a(H)-20R-Ethylcholestane",,0.443,U,0.443,U,,,,
C23 Tricyclic Terpane,,1.527,U,1.527,U,,,,
C24 Tricyclic Terpane ,,1.527,U,1.527,U,,,,
C25 Tricyclic Terpane,,1.527,U,1.527,U,,,,
C24 Tetracyclic Terpane,,1.527,U,1.527,U,,,,
C26 Tricyclic Terpane-22S,,1.527,U,1.527,U,,,,
C26 Tricyclic Terpane-22R,,1.527,U,1.527,U,,,,
C28 Tricyclic Terpane-22S,,1.527,U,1.527,U,,,,
C28 Tricyclic Terpane-22R,,1.527,U,1.527,U,,,,
C29 Tricyclic Terpane-22S,,1.527,U,1.527,U,,,,
C29 Tricyclic Terpane-22R,,1.527,U,1.527,U,,,,
"Ts-18a(H),21b(H)-22,29,30-Trisnorhopane",,1.527,U,1.527,U,,,,
"Tm-17a(H),21b(H)-22,29,30-Trisnorhopane",,1.527,U,1.527,U,,,,
"17a(H),21b(H)-28,30-Bisnorhopane",,1.527,U,1.527,U,,,,
"17a(H),21b(H)-25-Norhopane",,1.527,U,1.527,U,,,,
30-Norhopane,,1.527,U,1.527,U,,,,
"18a(H),21b(H)-30-Norneohopane (C29Ts)",,1.527,U,1.527,U,,,,
17a(H)-Diahopane,,1.527,U,1.527,U,,,,
30-Normoretane,,1.527,U,1.527,U,,,,
18a(H) & 18b(H)-Oleananes,,1.527,U,1.527,U,,,,
"17a(H),21b(H)-hopane",,1.527,U,1.527,U,,,,
"17b(H),21a(H)-hopane (moretane)",,1.527,U,1.527,U,,,,
30-Homohopane-22S,,1.527,U,1.527,U,,,,
30-Homohopane-22R,,1.527,U,1.527,U,,,,
"30,31-Bishomohopane-22S",,1.527,U,1.527,U,,,,
"30,31-Bishomohopane-22R",,1.527,U,1.527,U,,,,
"30,31,32-Trishomohopane-22S",,1.527,U,1.527,U,,,,
"30,31,32-Trishomohopane-22R",,1.527,U,1.527,U,,,,
"30,31,32,33-Tetrakishomohopane-22S",,1.527,U,1.527,U,,,,
"30,31,32,33-Tetrakishomohopane-22R",,1.527,U,1.527,U,,,,
"30,31,32,33,34-Pentakishomohopane-22S",,1.527,U,1.527,U,,,,
"30,31,32,33,34-Pentakishomohopane-22R",,1.527,U,1.527,U,,,,
Priority Pollutant PAH,,2.957,,2.558,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
Naphthalene-d8,,74,,74,,,,,
Acenaphthene-d10,,77,,76,,,,,
Phenanthrene-d10,,79,,80,,,,,
Benzo(a)pyrene-d12,,59,,68,,,,,
5b(H)-Cholane,,96,,104,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
