,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client ID,,PAL-201,,PAL-203,,PAL-204,,PAL-205,,PAL-207,,PAL-212,,PAL-212-REP,,PAL-216,,PAL-217,,PAL-218,,PAL-219,,PAL-220,,PAL-221,,PAL-225,,PAL-226,,PAL-227,,PAL-233,,PAL-234,,PAL-235,,PAL-239,
"30,31-Bishomohopane-22R",,1.155,U,0.645,J,1.357,U,1.297,U,1.524,U,0.889,J,1.265,U,1.185,U,1.248,U,0.65,J,1.234,U,1.3,U,1.185,U,1.3,U,1.285,U,1.483,U,1.073,U,1.268,U,1.254,U,0.875,J
"30,31,32-Trishomohopane-22S",,0.888,J,1.199,J,1.357,U,1.297,U,1.524,U,1.031,J,1.265,U,1.185,U,1.248,U,0.752,J,1.234,U,1.3,U,1.185,U,1.3,U,1.285,U,1.483,U,0.573,J,1.268,U,1.187,J,1.427,J
"30,31,32-Trishomohopane-22R",,1.155,U,1.163,U,1.357,U,1.297,U,1.524,U,1.18,U,1.265,U,1.185,U,1.248,U,1.274,U,1.234,U,1.3,U,1.185,U,1.3,U,1.285,U,1.483,U,1.073,U,1.268,U,1.254,U,1.172,U
"30,31,32,33-Tetrakishomohopane-22S",,1.155,U,1.163,U,1.357,U,1.297,U,1.524,U,1.18,U,1.265,U,1.185,U,1.248,U,1.274,U,1.234,U,1.3,U,1.185,U,1.3,U,1.285,U,1.483,U,1.073,U,1.268,U,1.254,U,1.172,U
"30,31,32,33-Tetrakishomohopane-22R",,1.155,U,1.163,U,1.357,U,1.297,U,1.524,U,1.18,U,1.265,U,1.185,U,1.248,U,1.274,U,1.234,U,1.3,U,1.185,U,1.3,U,1.285,U,1.483,U,1.073,U,1.268,U,1.254,U,1.172,U
"30,31,32,33,34-Pentakishomohopane-22S",,1.155,U,1.163,U,1.357,U,1.297,U,1.524,U,1.18,U,1.265,U,1.185,U,1.248,U,1.274,U,1.234,U,1.3,U,1.185,U,1.3,U,1.285,U,1.483,U,1.073,U,1.268,U,1.254,U,1.172,U
"30,31,32,33,34-Pentakishomohopane-22R",,1.155,U,1.163,U,1.357,U,1.297,U,1.524,U,1.18,U,1.265,U,1.185,U,1.248,U,1.274,U,1.234,U,1.3,U,1.185,U,1.3,U,1.285,U,1.483,U,1.073,U,1.268,U,1.254,U,1.172,U
Priority Pollutant PAH,,15.7,,11.338,,18.542,,15.167,,17.597,,15.945,,13.678,,13.03,,12.08,,14.729,,13.308,,13.355,,14.113,,13.198,,14.364,,17.842,,6.311,,13.224,,10.616,,5.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naphthalene-d8,,81,,95,,68,,82,,81,,86,,89,,95,,92,,92,,83,,90,,76,,80,,90,,89,,94,,89,,90,,97,
Acenaphthene-d10,,86,,100,,69,,83,,83,,90,,91,,100,,95,,97,,89,,93,,79,,82,,91,,91,,97,,91,,92,,99,
Phenanthrene-d10,,91,,105,,71,,87,,86,,95,,94,,105,,98,,102,,93,,98,,81,,85,,95,,96,,102,,97,,95,,102,
Benzo(a)pyrene-d12,,85,,98,,64,,75,,73,,84,,80,,91,,84,,89,,86,,90,,74,,76,,83,,84,,91,,86,,83,,90,
5b(H)-Cholane,,95,,101,,72,,92,,86,,106,,102,,109,,96,,103,,98,,94,,85,,91,,96,,97,,101,,99,,98,,109,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
