,range,,,,,,,,,±0.056,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,percent recovery,,,,,,111814MEA,,,89%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BLANK SPIKE RESULTS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Amount Spiked,,,,,,,,,,0.00774,,,,,,,,,
OPR Blank ,,,,,,,111814MEA,,,0.00145,U,,,,,,,,
OPR r1 ,,,,,,,111814MEA,,,0.00658,,,,,,,,,
Amount Recovered,,,,,,,,,,0.00658,,,,,,,,,
Percent Recovery,,,,,,,,,,85%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Amount Spiked,,,,,,,,,,0.00800,,,,,,,,,
OPR Blank ,,,,,,,111814MEA,,,0.00145,U,,,,,,,,
OPR r2 ,,,,,,,111814MEA,,,0.00735,,,,,,,,,
Amount Recovered,,,,,,,,,,0.00735,,,,,,,,,
Percent Recovery,,,,,,,,,,92%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
MATRIX SPIKE RESULTS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Amount Spiked,,,,,,,,0.0895,,0.500,,,,,,,,,
3471-7,PAL-538 ,arctic cod,M5868,08/06/14,17.9,,111814MEA,0.00457,,0.0255,,,,,,,,,
3471-7 MS,,,,,,,111814MEA,0.0895,,0.500,,,,,,,,,
Amount Recovered,,,,,,,,0.0850,,0.475,,,,,,,,,
Percent Recovery,,,,,,,,95%,,95%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Amount Spiked,,,,,,,,0.0869,,0.485,,,,,,,,,
3471-7,PAL-538 ,arctic cod,M5868,08/06/14,17.9,,111814MEA,0.00457,,0.0255,,,,,,,,,
3471-7 MSD,,,,,,,111814MEA,0.0858,,0.479,,,,,,,,,
Amount Recovered,,,,,,,,0.0812,,0.454,,,,,,,,,
Percent Recovery,,,,,,,,94%,,94%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
RPD,,,,,,,,1%,,1%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Amount Spiked,,,,,,,,0.0878,,0.490,,,,,,,,,
3471-14,PAL-203,amphipod,M5882,07/31/14,25.9,,111814MEA,0.0122,,0.0472,,,,,,,,,
3471-14 MS,,,,,,,111814MEA,0.0956,,0.534,,,,,,,,,
Amount Recovered,,,,,,,,0.0872,,0.487,,,,,,,,,
Percent Recovery,,,,,,,,99%,,99%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Amount Spiked,,,,,,,,0.0895,,0.500,,,,,,,,,
3471-14,PAL-203,amphipod,M5882,07/31/14,25.9,,111814MEA,0.0122,,0.0472,,,,,,,,,
3471-14 MSD,,,,,,,111814MEA,0.0890,,0.497,,,,,,,,,
Amount Recovered,,,,,,,,0.0806,,0.450,,,,,,,,,
Percent Recovery,,,,,,,,90%,,90%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
RPD,,,,,,,,10%,,10%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
REPLICATE ANALYSIS RESULTS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3471-12 r1,PAL-321,clam,M5877,08/03/14,21.4,,111814MEA,0.00534,,0.0249,,,,,,,,,
3471-12 r2,PAL-321,clam,M5877,08/03/14,21.4,,111814MEA,0.00590,,0.0276,,,,,,,,,
RPD,,,,,,,,10%,,10%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
U     Not detected at or above MDL shown,,,,,,,,,,,,,,,,,,,
J     Detected between the MDL and the MRL,,,,,,,,,,,,,,,,,,,
NA   Not Applicable,,,,,,,,,,,,,,,,,,,
NS   Not Spiked,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Approvals:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Project Manager,,,Date,,QA Reviewer,,,,Date,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
#    Exceeds Data Quality Objective,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
