Unique ,Year,Date ,Type,TSN,Species,Rep,STA,Depth (m),Lat DD,Long DD,Acidified?,Sampling,Composit,Size,Notes,Unique non,amount (mg) , ?¹?N,?moles N,?¹³C,?moles C,Unique acid,amount (mg) , ?¹?N,?moles N,?¹³C,?moles C
298,2014,5-Aug-14,Animal,69893,Margarites costalis,1,11,43.5,70.884,-148.135,Non only,Trawl,,,muscle,298,0.640,10.278,1.862,-20.147,8.124,,,,,,
300,2014,5-Aug-14,Animal,69893,Margarites costalis,2,11,43.5,70.884,-148.135,Non only,Trawl,,,muscle,300,0.416,10.191,3.552,-20.456,14.996,,,,,,
306,2014,4-Aug-14,Animal,94230,Anonyx sp.,1,16,61.2,70.734,-145.992,Non only,Trawl,,,muscle,306,0.430,17.963,2.700,-23.151,16.710,,,,,,
308,2014,4-Aug-14,Animal,94230,Anonyx sp.,2,16,61.2,70.734,-145.992,Non only,Trawl,,,muscle,308,0.400,16.484,2.598,-22.26,15.508,,,,,,
310,2014,4-Aug-14,Animal,80837,Astarte montagui,1,16,61.2,70.734,-145.992,Non only,Trawl,n=4,,muscle,310,0.353,8.952,2.531,-21.906,12.825,,,,,,
312,2014,4-Aug-14,Animal,80837,Astarte montagui,2,16,61.2,70.734,-145.992,Non only,Grab,n=3,,muscle,312,0.413,9.721,2.740,-21.736,14.231,,,,,,
314,2014,4-Aug-14,Animal,164706,Boreogadus saida,1,16,61.2,70.734,-145.992,non - acid,Trawl,,,,314,0.449,10.856,3.627,,,313,0.449,,3.601,-23.783,18.702
320,2014,4-Aug-14,Animal,69893,Margarites costalis,1,16,61.2,70.734,-145.992,Non only,Trawl,,,muscle,320,0.422,10.159,3.016,-21.518,14.471,,,,,,
322,2014,4-Aug-14,Animal,69893,Margarites costalis,2,16,61.2,70.734,-145.992,Non only,Trawl,,,muscle,322,0.400,10.205,2.917,-21.063,14.275,,,,,,
328,2014,2-Aug-14,Animal,80837,Astarte montagui,1,21,36.6,70.275,-143.910,Non only,Trawl,n=4,1.7 cm,,328,0.401,8.767,3.093,-21.26,13.250,,,,,,
330,2014,2-Aug-14,Animal,80837,Astarte montagui,2,21,36.6,70.275,-143.910,Non only,Trawl,,1.3 cm,,330,0.435,8.688,2.864,-21.797,14.248,,,,,,
346,2014,2-Aug-14,Animal,69893,Margarites costalis,1,21,36.6,70.275,-143.910,Non only,Trawl,,,,346,0.416,9.627,2.616,-20.834,13.361,,,,,,
348,2014,2-Aug-14,Animal,69893,Margarites costalis,2,21,36.6,70.275,-143.910,Non only,Trawl,,,,348,0.476,9.738,2.725,-21.784,16.036,,,,,,
356,2014,2-Aug-14,Animal,80837,Astarte montagui,1,22,35.2,70.192,-142.905,Non only,Trawl,,2.0-2.5 cm,,356,0.428,9.132,2.550,-20.406,12.083,,,,,,
358,2014,2-Aug-14,Animal,80837,Astarte montagui,2,22,35.2,70.192,-142.905,Non only,Trawl,,,,358,0.406,9.523,2.683,-20.625,12.964,,,,,,
374,2014,3-Aug-14,Animal,94230,Anonyx sp.,1,24,53.5,70.260,-141.763,Non only,Grab,,,,374,0.419,16.062,2.592,-22.668,15.323,,,,,,
376,2014,3-Aug-14,Animal,94230,Anonyx sp.,2,24,53.5,70.260,-141.763,Non only,Grab,,,,376,0.384,17.719,2.036,-22.878,15.802,,,,,,
378,2014,3-Aug-14,Animal,80837,Astarte montagui,1,24,53.5,70.260,-141.763,Non only,Trawl,,,,378,0.403,9.182,2.336,-21.842,12.756,,,,,,
380,2014,3-Aug-14,Animal,80837,Astarte montagui,2,24,53.5,70.260,-141.763,Non only,Trawl,,,,380,0.457,8.627,3.085,-21.777,15.347,,,,,,
390,2014,3-Aug-14,Animal,69893,Margarites costalis,1,24,53.5,70.260,-141.763,Non only,Trawl,,,muscle only,390,0.404,10.451,2.971,-21.475,13.268,,,,,,
392,2014,3-Aug-14,Animal,69893,Margarites costalis,2,24,53.5,70.260,-141.763,Non only,Trawl,,,,392,0.412,10.276,2.951,-21.587,12.775,,,,,,
404,2014,3-Aug-14,Animal,80837,Astarte montagui,1,25,22.7,69.851,-141.718,Non only,Trawl,,,,404,0.403,8.367,2.537,-21.797,12.412,,,,,,
406,2014,3-Aug-14,Animal,80837,Astarte montagui,2,25,22.7,69.851,-141.718,Non only,Trawl,,,,406,0.330,8.804,2.346,-21.99,11.615,,,,,,
412,2014,3-Aug-14,Animal,96809,Eualus gaimardii gaimardii,1,25,22.7,69.851,-141.718,Non only,Trawl,,,,412,0.468,12.907,2.884,-21.699,12.438,,,,,,
414,2014,3-Aug-14,Animal,96809,Eualus gaimardii gaimardii,2,25,22.7,69.851,-141.718,Non only,Trawl,,,,414,0.372,13.200,3.201,-21.301,13.168,,,,,,
420,2014,3-Aug-14,Animal,69893,Margarites costalis,1,25,22.7,69.851,-141.718,Non only,Trawl,,,,420,0.470,8.782,3.174,-21.091,15.076,,,,,,
422,2014,3-Aug-14,Animal,69893,Margarites costalis,2,25,22.7,69.851,-141.718,Non only,Trawl,,,,422,0.408,8.816,3.275,-20.888,13.557,,,,,,
432,2014,1-Aug-14,Animal,94230,Anonyx sp.,1,5(5),19.9,70.437,-147.344,Non only,Trawl,,,,432,0.428,15.516,3.065,-21.663,14.447,,,,,,
434,2014,1-Aug-14,Animal,94230,Anonyx sp.,2,5(5),19.9,70.437,-147.344,Non only,Trawl,,,,434,0.405,16.655,3.117,-21.678,14.785,,,,,,
436,2014,1-Aug-14,Animal,96809,Eualus gaimardii gaimardii,1,5(5),19.9,70.437,-147.344,Non only,Trawl,,,,436,0.495,13.656,4.505,-20.063,18.073,,,,,,
438,2014,1-Aug-14,Animal,96809,Eualus gaimardii gaimardii,2,5(5),19.9,70.437,-147.344,Non only,Trawl,,,,438,0.378,13.868,3.641,-20.410,13.507,,,,,,
466,2014,31-Jul-14,Animal,94230,Anonyx sp.,1,6D,18.9,70.749,-150.475,Non only,,,,,466,0.426,17.395,2.565,-22.146,16.768,,,,,,
468,2014,31-Jul-14,Animal,94230,Anonyx sp.,2,6D,18.9,70.749,-150.475,Non only,,,,,468,0.485,17.140,3.093,-21.879,18.965,,,,,,
470,2014,31-Jul-14,Animal,96809,Eualus gaimardii gaimardii,1,6D,18.9,70.749,-150.475,Non only,,n=1,,,470,0.406,14.363,3.583,-20.791,14.595,,,,,,
472,2014,31-Jul-14,Animal,96809,Eualus gaimardii gaimardii,2,6D,18.9,70.749,-150.475,Non only,,n=2,,,472,0.450,13.590,4.256,-19.667,16.613,,,,,,
482,2014,1-Aug-14,Animal,94230,Anonyx sp.,1,L250-5,29.3,70.365,-146.118,Non only,Trawl,,,,482,0.448,16.589,2.842,16.589,17.730,,,,,,
484,2014,1-Aug-14,Animal,94230,Anonyx sp.,2,L250-5,29.3,70.365,-146.118,Non only,,,,,484,0.418,16.964,2.921,16.964,15.226,,,,,,
486,2014,1-Aug-14,Animal,80837,Astarte montagui,1,L250-5,29.3,70.365,-146.118,Non only,Trawl,,,,486,0.374,8.687,2.598,8.687,14.317,,,,,,
488,2014,1-Aug-14,Animal,94230,Anonyx sp.,1,L250-5,29.3,70.365,-146.118,Non only,Trawl,,,,488,0.373,14.287,3.382,14.287,12.940,,,,,,
490,2014,1-Aug-14,Animal,94230,Anonyx sp.,2,L250-5,29.3,70.365,-146.118,Non only,,,,,490,0.404,14.293,3.669,14.293,13.477,,,,,,
494,2014,1-Aug-14,Animal,69875,Margarites sp.,1,L250-5,29.3,70.365,-146.118,Non only,Trawl,,,,494,0.364,9.954,2.260,-21.583,10.281,,,,,,
496,2014,1-Aug-14,Animal,69875,Margarites sp.,2,L250-5,29.3,70.365,-146.118,Non only,,,,,496,0.401,10.211,2.873,-21.181,12.682,,,,,,
453454,2014,1-Aug-14,Animal,65232,Phyllodoce groenlandica,1,5(5),19.9,70.437,-147.344,non - acid,Trawl,,,,454,0.452,12.989,2.635,,,453,0.451,,2.312,-22.911,22.024
253-254,2014,6-Aug-14,Animal,164706,Boreogadus saida,1,1.05,64.9,71.320,-152.090,non - acid,Trawl,,,,254,0.419,15.204,3.726,,,253,0.399,,3.695,-20.496,15.550
255-256,2014,6-Aug-14,Animal,164706,Boreogadus saida,2,1.05,64.9,71.320,-152.090,non - acid,Trawl,,,,256,0.486,14.697,4.126,,,255,0.472,,4.371,-20.258,18.291
257-258,2014,6-Aug-14,Animal,96809,Eualus gaimardii gaimardii,1,1.05,64.9,71.320,-152.090,non - acid,Trawl,,,,258,0.390,13.464,3.653,,,257,0.465,,3.183,-22.288,20.726
259-260,2014,6-Aug-14,Animal,96809,Eualus gaimardii gaimardii,2,1.05,64.9,71.320,-152.090,non - acid,Trawl,,,,260,0.393,13.689,3.797,,,259,0.526,,4.625,-21.252,20.932
263-264,2014,6-Aug-14,Animal,65232,Phyllodoce groenlandica,1,1.05,64.9,71.320,-152.090,non - acid,Trawl,,,,264,0.330,12.196,2.431,,,263,0.416,,2.35,-21.170,20.509
271-272,2014,6-Aug-14,Animal,164706,Boreogadus saida,1,6,54.9,71.283,-151.560,non - acid,Trawl,,9 cm,,272,0.485,14.194,4.210,,,271,0.460,,3.967,-20.680,18.562
273-274,2014,6-Aug-14,Animal,164706,Boreogadus saida,2,6,54.9,71.283,-151.560,non - acid,Trawl,,7 cm,,274,0.423,14.406,3.768,,,273,0.500,,4.417,-21.371,20.133
275-276,2014,6-Aug-14,Animal,96809,Eualus gaimardii gaimardii,1,6,54.9,71.283,-151.560,non - acid,Trawl,,,,276,0.515,14.027,4.719,,,275,0.382,,2.979,-20.715,14.732
277-278,2014,6-Aug-14,Animal,96809,Eualus gaimardii gaimardii,2,6,54.9,71.283,-151.560,non - acid,Trawl,,,,278,0.377,13.746,3.428,,,277,0.485,,4.15,-20.253,18.500
283-284,2014,6-Aug-14,Animal,65232,Phyllodoce groenlandica,1,6,54.9,71.283,-151.560,non - acid,Trawl,,,,284,0.447,13.838,2.913,,,283,0.392,,2.035,-22.187,17.564
293-294,2014,5-Aug-14,Animal,157228,Leptasterias arctica,1,11,43.5,70.884,-148.135,non - acid,Trawl,,,,294,0.467,12.538,2.735,,,293,0.463,,3.385,-21.281,18.828
295-296,2014,5-Aug-14,Animal,157228,Leptasterias arctica,2,11,43.5,70.884,-148.135,non - acid,Trawl,,,,296,0..398,11.628,2.853,,,295,0.427,,3.043,-21.481,16.891
301-302,2014,5-Aug-14,Animal,66011,Nephtys sp.,1,11,43.5,70.884,-148.135,non - acid,Grab,,,muscle,302,0.451,13.945,2.880,,,301,0.395,,1.774,-22.959,12.222
303-304,2014,4-Aug-14,Animal,155487,Alcyonidium gelatinosum,1,16,61.2,70.734,-145.992,non - acid,Trawl,,,,304,0.420,10.196,1.838,,,303,0.396,,2.551,-24.193,15.606
315-316,2014,4-Aug-14,Animal,157232,Leptasterias groenlandicus,1,16,61.2,70.734,-145.992,non - acid,Trawl,,,,316,0.474,12.298,1.772,,,315,0.438,,3.07,-22.962,18.074
317-318,2014,4-Aug-14,Animal,157232,Leptasterias groenlandicus,2,16,61.2,70.734,-145.992,non - acid,Trawl,,,,318,0.376,12.501,1.514,,,317,0.517,,3.281,-23.798,20.592
323-324,2014,4-Aug-14,Animal,66011,Nephtys sp.,1,16,61.2,70.734,-145.992,non - acid,Trawl,,,,324,0.447,14.552,3.293,,,323,0.510,,3.528,-22.566,20.383
325-326,2014,2-Aug-14,Animal,94230,Anonyx sp.,1,21,36.6,70.275,-143.910,non - acid,Trawl,n=2,small,whole,326,0.490,13.079,1.739,,,325,0.501,,2.103,-24.958,22.743
331-332,2014,2-Aug-14,Animal,164706,Boreogadus saida,1,21,36.6,70.275,-143.910,non - acid,Trawl,,,,332,0.372,13.695,3.723,,,331,0.399,,3.551,-22.741,15.586
333-334,2014,2-Aug-14,Animal,164706,Boreogadus saida,2,21,36.6,70.275,-143.910,non - acid,Trawl,,,,334,0.499,12.532,4.373,,,333,0.595,,5.468,-22.725,26.076
335-336,2014,2-Aug-14,Animal,96809,Eualus gaimardii gaimardii,1,21,36.6,70.275,-143.910,non - acid,Trawl,,,whole,336,0.378,14.345,3.187,,,335,0.358,,3.105,-21.986,15.411
337-338,2014,2-Aug-14,Animal,96809,Eualus gaimardii gaimardii,2,21,36.6,70.275,-143.910,non - acid,Trawl,,,whole,338,0.377,12.842,2.789,,,337,0.383,,2.874,-22.622,15.360
339-340,2014,2-Aug-14,Animal,157232,Leptasterias groenlandicus,1,21,36.6,70.275,-143.910,non - acid,Trawl,,,,340,0.456,12.323,1.801,,,339,0.491,,3.057,-23.520,20.681
341-342,2014,2-Aug-14,Animal,157232,Leptasterias groenlandicus,2,21,36.6,70.275,-143.910,non - acid,Trawl,,,,342,0.509,12.488,1.537,,,341,0.521,,3.545,-22.875,20.116
343-344,2014,2-Aug-14,Animal,631020,Lumpenus fabricii,1,21,36.6,70.275,-143.910,non - acid,Trawl,,,,344,0.385,12.494,3.069,,,343,0.574,,4.169,-24.326,22.760
349-350,2014,2-Aug-14,Animal,66011,Nephtys sp.,1,21,36.6,70.275,-143.910,non - acid,Grab,,,,350,0.463,13.544,3.105,,,349,0.439,,2.47,-22.746,15.696
351-352,2014,2-Aug-14,Animal,65232,Phyllodoce groenlandica,1,21,36.6,70.275,-143.910,non - acid,Trawl,,,,352,0.388,13.004,3.060,,,351,0.421,,3.13,-22.305,17.602
353-354,2014,2-Aug-14,Animal,65232,Phyllodoce groenlandica,2,21,36.6,70.275,-143.910,non - acid,Grab,,,,354,0.399,13.687,2.423,,,353,0.402,,3.179,-22.232,16.713
359-360,2014,2-Aug-14,Animal,164706,Boreogadus saida,1,22,35.2,70.192,-142.905,non - acid,Trawl,,,,360,0.478,13.599,3.973,,,359,0.492,,4.677,-22.138,20.214
361-362,2014,2-Aug-14,Animal,164706,Boreogadus saida,2,22,35.2,70.192,-142.905,non - acid,Trawl,,,,362,0.502,13.061,4.222,,,361,0.417,,3.77,-22.627,16.978
363-364,2014,2-Aug-14,Animal,96809,Eualus gaimardii gaimardii,1,22,35.2,70.192,-142.905,non - acid,Trawl,,,,364,0.478,13.337,3.872,,,363,0.453,,3.99,-21.869,16.892
365-366,2014,2-Aug-14,Animal,96809,Eualus gaimardii gaimardii,2,22,35.2,70.192,-142.905,non - acid,Trawl,,,,366,0.413,13.595,3.397,,,365,0.504,,4.314,-21.920,19.474
367-368,2014,2-Aug-14,Animal,157232,Leptasterias groenlandicus,1,22,35.2,70.192,-142.905,non - acid,Trawl,,,,368,0.421,12.125,1.911,,,367,0.473,,3.691,-21.939,19.675
369-370,2014,2-Aug-14,Animal,157232,Leptasterias groenlandicus,2,22,35.2,70.192,-142.905,non - acid,Trawl,,,,370,0.457,12.750,3.496,,,369,0.385,,3.041,-21.881,15.325
371-372,2014,2-Aug-14,Animal,631020,Lumpenus fabricii,1,22,35.2,70.192,-142.905,non - acid,Trawl,,,,372,0.424,15.256,3.713,,,371,0.414,,3.56,-21.912,15.330
381-382,2014,3-Aug-14,Animal,96809,Eualus gaimardii gaimardii,1,24,53.5,70.260,-141.763,non - acid,Trawl,,,,382,0.402,13.216,3.519,,,381,0.372,,3.156,-22.181,14.324
383-384,2014,3-Aug-14,Animal,96809,Eualus gaimardii gaimardii,2,24,53.5,70.260,-141.763,non - acid,Trawl,,,,384,0.417,13.668,3.509,,,383,0.465,,3.74,-22.278,18.112
385-386,2014,3-Aug-14,Animal,157232,Leptasterias groenlandicus,1,24,53.5,70.260,-141.763,non - acid,Trawl,,,,386,0.413,10.768,0.809,,,385,0.420,,2.045,-24.169,13.197
387-388,2014,3-Aug-14,Animal,157232,Leptasterias groenlandicus,2,24,53.5,70.260,-141.763,non - acid,Trawl,,,,388,0.517,10.964,1.772,,,387,0.407,,2.524,-24.682,17.475
393-394,2014,3-Aug-14,Animal,66011,Nephtys sp.,1,24,53.5,70.260,-141.763,non - acid,Trawl,,,,394,0.475,13.610,3.366,,,393,0.398,,3.636,-20.695,15.794
395-396,2014,3-Aug-14,Animal,65232,Phyllodoce groenlandica,1,24,53.5,70.260,-141.763,non - acid,Grab,,,,396,0.420,14.027,2.720,,,395,0.437,,3.308,-22.448,17.411
397-398,2014,3-Aug-14,Animal,155487,Alcyonidium gelatinosum,1,25,22.7,69.851,-141.718,non - acid,Trawl,,,,398,0.444,9.203,2.129,,,397,0.389,,2.352,-24.193,12.125
399-400,2014,3-Aug-14,Animal,94230,Anonyx sp.,1,25,22.7,69.851,-141.718,non - acid,Trawl,,,whole,400,0.400,14.855,2.166,,,399,0.393,,2.469,-23.121,16.962
401-402,2014,3-Aug-14,Animal,94230,Anonyx sp.,2,25,22.7,69.851,-141.718,non - acid,Trawl,,,,402,0.497,14.561,2.023,,,401,0.404,,1.406,-25.703,19.087
407-408,2014,3-Aug-14,Animal,164706,Boreogadus saida,1,25,22.7,69.851,-141.718,non - acid,Trawl,,,,408,0.453,11.346,3.615,,,407,0.475,,4.337,-23.473,19.430
409-410,2014,3-Aug-14,Animal,164706,Boreogadus saida,2,25,22.7,69.851,-141.718,non - acid,Trawl,,,,410,0.455,11.148,3.811,,,409,0.503,,4.663,-24.048,21.481
415-416,2014,3-Aug-14,Animal,157232,Leptasterias groenlandicus,1,25,22.7,69.851,-141.718,non - acid,Trawl,,,,416,0.444,10.476,1.130,,,415,0.449,,2.888,-24.828,20.651
417-418,2014,3-Aug-14,Animal,157232,Leptasterias groenlandicus,2,25,22.7,69.851,-141.718,non - acid,Trawl,,,,418,0.399,10.752,1.593,,,417,0.545,,3.632,-24.130,24.407
423-424,2014,3-Aug-14,Animal,65232,Phyllodoce groenlandica,1,25,22.7,69.851,-141.718,non - acid,Grab,,,,424,0.422,11.884,2.646,,,423,0.437,,3.2,-23.051,18.747
425-426,2014,3-Aug-14,Animal,65232,Phyllodoce groenlandica,2,25,22.7,69.851,-141.718,non - acid,Grab,,,,426,0.428,11.755,2.821,,,425,0.355,,2.38,-23.950,17.240
427-428,2014,1-Aug-14,Animal,155481,Alcyonidium disciforme,1,5(5),19.9,70.437,-147.344,non - acid,Trawl,,,,428,0.363,6.200,0.137,,,427,0.502,,0.393,-24.925,2.458
429-430,2014,1-Aug-14,Animal,155481,Alcyonidium disciforme,2,5(5),19.9,70.437,-147.344,non - acid,Trawl,,,,430,0.444,9.558,1.119,,,429,0.337,,0.217,-24.185,1.524
439-440,2014,1-Aug-14,Animal,157225,Leptasterias sp. ,1,5(5),19.9,70.437,-147.344,non - acid,Trawl,,,,440,0.402,11.716,0.734,,,439,0.427,,3.387,-23.210,17.634
441-442,2014,1-Aug-14,Animal,631020,Lumpenus fabricii,1,5(5),19.9,70.437,-147.344,non - acid,Trawl,,,,442,0.395,14.119,3.320,,,441,0.533,,5.204,-21.433,22.031
443-444,2014,1-Aug-14,Animal,631020,Lumpenus fabricii,2,5(5),19.9,70.437,-147.344,non - acid,,,,,444,0.380,13.769,3.183,,,443,0.469,,4.454,-22.678,19.889
447-448,2014,1-Aug-14,Animal,66011,Nephtys sp.,1,5(5),19.9,70.437,-147.344,non - acid,Trawl,,,,448,0.434,0.405,3.006,,,447,0.460,,2.031,-23.166,18.572
449-450,2014,1-Aug-14,Animal,66011,Nephtys sp.,2,5(5),19.9,70.437,-147.344,non - acid,Trawl,,,,450,0.460,0.495,3.166,,,449,0.421,,2.707,-22.357,19.060
451-452,2014,1-Aug-14,Animal,66011,Nephtys sp.,3,5(5),19.9,70.437,-147.344,non - acid,Grab,,,,452,0.421,0.378,2.976,,,451,0.452,,3.346,-21.992,20.696
455-456,2014,1-Aug-14,Animal,65232,Phyllodoce groenlandica,2,5(5),19.9,70.437,-147.344,non - acid,Trawl,,,,456,0.451,12.929,3.093,,,455,0.398,,2.688,-22.255,14.646
457-458,2014,1-Aug-14,Animal,65232,Phyllodoce groenlandica,3,5(5),19.9,70.437,-147.344,non - acid,Grab,,,,458,0.398,12.374,2.974,,,457,0.420,,3.182,-22.186,16.030
459-460,2014,1-Aug-14,Animal,65232,Phyllodoce groenlandica,4,5(5),19.9,70.437,-147.344,non - acid,Grab,,,,460,0.420,12.705,3.332,,,459,0.357,,2.988,-22.178,17.874
461-462,2014,31-Jul-14,Animal,155481,Alcyonidium disciforme,1,6D,18.9,70.749,-150.475,non - acid,Trawl,,,,462,0.446,11.157,0.664,,,461,0.451,,0.287,-24.607,15.303
463-464,2014,31-Jul-14,Animal,155491,Alcyonidium gelatinosum anderssoni,1,6D,18.9,70.749,-150.475,non - acid,Trawl,,,,464,0.445,9.829,2.404,,,463,0.394,,2.891,-24.282,1.979
473-474,2014,31-Jul-14,Animal,66011,Nephtys sp.,1,6D,18.9,70.749,-150.475,non - acid,Trawl,,,,474,0.437,12.310,3.384,,,473,0.390,,3.116,-21.927,15.318
475-476,2014,31-Jul-14,Animal,66011,Nephtys sp.,2,6D,18.9,70.749,-150.475,non - acid,Trawl,,,,476,0.422,13.126,3.270,,,475,0.490,,3.452,-22.363,17.100
477-478,2014,31-Jul-14,Animal,66011,Nephtys sp.,3,6D,18.9,70.749,-150.475,non - acid,Grab,,,,478,0.477,12.315,3.348,,,477,0.416,,3.415,-22.188,21.208
479-480,2014,1-Aug-14,Animal,155487,Alcyonidium gelatinosum,1,L250-5,29.3,70.365,-146.118,non - acid,Trawl,,,,480,0.418,10.423,2.502,,,479,0.432,,2.947,-24.743,17.116
491-492,2014,1-Aug-14,Animal,157228,Leptasterias arctica,1,L250-5,29.3,70.365,-146.118,non - acid,Trawl,,,,492,0.406,13.024,2.667,,,491,0.366,,2.902,-21.597,22.035
497-498,2014,1-Aug-14,Animal,66011,Nephtys sp.,1,L250-5,29.3,70.365,-146.118,non - acid,Grab,n=1,,,498,0.417,12.635,2.718,,,497,0.390,,3.094,-22.028,15.530
499-500,2014,1-Aug-14,Animal,66011,Nephtys sp.,2,L250-5,29.3,70.365,-146.118,non - acid,Trawl,n=2,,,500,0.390,13.215,2.884,,,499,0.344,,2.45,-22.996,15.721
501-502,2014,1-Aug-14,Animal,66011,Nephtys sp.,3,L250-5,29.3,70.365,-146.118,non - acid,Trawl,n=3,,,502,0.434,14.029,3.051,,,501,0.389,,2.602,-22.946,15.489
503-504,2014,1-Aug-14,Animal,65232,Phyllodoce (groenlandica?),1,L250-5,29.3,70.365,-146.118,non - acid,Trawl,,,,504,0.488,13.180,2.934,,,503,0.350,,2.373,-23.142,16.007
111,2015,1-Aug-15,Animal,164706,Boreogadus saida,1,152 W0,15.9,71.00417,-152.37927,Non only,Trawl,n=1,8 cm,,111,0.420,12.96,3.73,-22.55,14.97,,,,,,
113,2015,1-Aug-15,Animal,164706,Boreogadus saida,2,152 W0,15.9,71.00417,-152.37927,Non only,Trawl,n=1,9 cm,,113,0.391,14.23,3.47,-21.62,13.59,,,,,,
115,2015,1-Aug-15,Animal,96807,Eualus gaimardii,1,152 W0,15.9,71.00417,-152.37927,Non only,Trawl,n=2,,,115,0.490,12.76,4.59,-19.72,17.55,,,,,,
117,2015,1-Aug-15,Animal,96807,Eualus gaimardii,2,152 W0,15.9,71.00417,-152.37927,Non only,Trawl,n=2,,,117,0.360,13.94,3.37,-19.67,12.47,,,,,,
119,2015,1-Aug-15,Animal,65232,Phyllodoce groenlandica,1,152 W0,15.9,71.00417,-152.37927,Non only,Grab,n=2,,,119,0.447,11.94,2.76,-21.11,13.55,,,,,,
121,2015,1-Aug-15,Animal,65232,Phyllodoce groenlandica,2,152 W0,15.9,71.00417,-152.37927,Non only,Grab,n=2,,,121,0.397,12.42,1.93,-21.45,10.03,,,,,,
123,2015,1-Aug-15,Animal,80831,Astarte borealis,1,152 W1,38,71.19385,-152.25312,Non only,Grab,n=2,,,123,0.352,11.32,2.59,-19.72,11.35,,,,,,
125,2015,1-Aug-15,Animal,164706,Boreogadus saida,1,152 W1,38,71.19385,-152.25312,Non only,Trawl,n=1,6.3 cm,,125,0.459,12.62,3.99,-20.20,16.36,,,,,,
127,2015,1-Aug-15,Animal,96807,Eualus gaimardii,1,152 W1,38,71.19385,-152.25312,Non only,Trawl,n=2,,,127,0.367,14.24,3.10,-20.03,12.00,,,,,,
129,2015,1-Aug-15,Animal,96807,Eualus gaimardii,2,152 W1,38,71.19385,-152.25312,Non only,Trawl,n=2,,,129,0.416,14.27,3.86,-19.72,14.72,,,,,,
131,2015,1-Aug-15,Animal,66013,Nephtys ciliata,1,152 W1,38,71.19385,-152.25312,Non only,Grab,n=1,,,131,0.440,14.25,2.74,-19.35,10.69,,,,,,
137,2015,1-Aug-15,Animal,164706,Boreogadus saida,1,71-150,18.2,70.94037,-151.03007,Non only,Trawl,n=1,10 cm,,137,0.443,13.74,3.62,-22.66,14.46,,,,,,
139,2015,1-Aug-15,Animal,96807,Eualus gaimardii,1,71-150,18.2,70.94037,-151.03007,Non only,Trawl,n=2,,,139,0.421,13.41,3.67,-19.50,14.36,,,,,,
141,2015,1-Aug-15,Animal,96807,Eualus gaimardii,2,71-150,18.2,70.94037,-151.03007,Non only,Trawl,n=2,,,141,0.371,13.80,3.39,-19.41,13.31,,,,,,
143,2015,1-Aug-15,Animal,66011,Nephtys sp.,1,71-150,18.2,70.94037,-151.03007,Non only,Trawl,n=2,,,143,0.492,11.72,3.46,-18.56,13.71,,,,,,
145,2015,1-Aug-15,Animal,66011,Nephtys sp.,2,71-150,18.2,70.94037,-151.03007,Non only,Trawl,n=2,,,145,0.353,12.51,2.59,-18.13,10.48,,,,,,
147,2015,1-Aug-15,Animal,65232,Phyllodoce groenlandica,1,71-150,18.2,70.94037,-151.03007,Non only,Grab,n=many,small,,147,0.355,10.34,1.91,-22.16,10.45,,,,,,
