VariableCode,VariableName,Speciation,Units,UnitsAbbreviation,SampleMedium,ValueType,DataType,GeneralCategory,NoDataValue,QCLevel,CollectionMethod,SampleType,LabName,LabOrganization,LabMethodName,LabMethodDescription
Hg-MM-dry-weight,"Mercury, Methylated, dry weight",MMHg,micrograms per gram,µg/g,Tissue,Sample,Sporadic,Biota,-9999,1,"Dissected tissue samples were prepared from biota collected using benthic trawls, traps and van Veen grabs",Grab/Trap/Trawl,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 1630,"Analyzed from dry weight of sample using ethylation, isothermal GC separation and detection using a cold vapor atomic absorption spectrometer."
Mn-T-dry-weight,"Manganese, total, dry weight",Mn,micrograms per gram,µg/g,Tissue,Sample,Sporadic,Biota,-9999,1,"Dissected tissue samples were prepared from biota collected using benthic trawls, traps and van Veen grabs",Grab/Trap/Trawl,Marine and Environmental Chemistry,Florida Institute of Technology,EPS 7000B,Analyzed from dry weight of sample using a Perkin-Elmer Model 4000 atomic absorption spectrometer.
Ni-T-dry-weight,"Nickel, total, dry weight",Ni,micrograms per gram,µg/g,Tissue,Sample,Sporadic,Biota,-9999,1,"Dissected tissue samples were prepared from biota collected using benthic trawls, traps and van Veen grabs",Grab/Trap/Trawl,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.
Pb-T-dry-weight,"Lead, total, dry weight",Pb,micrograms per gram,µg/g,Tissue,Sample,Sporadic,Biota,-9999,1,"Dissected tissue samples were prepared from biota collected using benthic trawls, traps and van Veen grabs",Grab/Trap/Trawl,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.
Sb-T-dry-weight,"Antimony, total, dry weight",Sb,micrograms per gram,µg/g,Tissue,Sample,Sporadic,Biota,-9999,1,"Dissected tissue samples were prepared from biota collected using benthic trawls, traps and van Veen grabs",Grab/Trap/Trawl,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.
Se-T-dry-weight,"Selenium, total, dry weight",Se,micrograms per gram,µg/g,Tissue,Sample,Sporadic,Biota,-9999,1,"Dissected tissue samples were prepared from biota collected using benthic trawls, traps and van Veen grabs",Grab/Trap/Trawl,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.
Sn-T-dry-weight,"Tin, total, dry weight",Sn,micrograms per gram,µg/g,Tissue,Sample,Sporadic,Biota,-9999,1,"Dissected tissue samples were prepared from biota collected using benthic trawls, traps and van Veen grabs",Grab/Trap/Trawl,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.
Tl-T-dry-weight,"Thallium, total, dry weight",Tl,micrograms per gram,µg/g,Tissue,Sample,Sporadic,Biota,-9999,1,"Dissected tissue samples were prepared from biota collected using benthic trawls, traps and van Veen grabs",Grab/Trap/Trawl,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.
V-T-dry-weight,"Vanadium, total, dry weight",V,micrograms per gram,µg/g,Tissue,Sample,Sporadic,Biota,-9999,1,"Dissected tissue samples were prepared from biota collected using benthic trawls, traps and van Veen grabs",Grab/Trap/Trawl,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.
Zn-T-dry-weight,"Zinc, total, dry weight",Zn,micrograms per gram,µg/g,Tissue,Sample,Sporadic,Biota,-9999,1,"Dissected tissue samples were prepared from biota collected using benthic trawls, traps and van Veen grabs",Grab/Trap/Trawl,Marine and Environmental Chemistry,Florida Institute of Technology,EPS 7000B,Analyzed from dry weight of sample using a Perkin-Elmer Model 4000 atomic absorption spectrometer.
Water-T,"Water content, total",H2O,percent,%,Tissue,Sample,Sporadic,Biota,-9999,1,"Dissected tissue samples were prepared from biota collected using benthic trawls, traps and van Veen grabs",Grab/Trap/Trawl,Marine and Environmental Chemistry,Florida Institute of Technology,Freeze drying,Calculated from weight difference after freeze-drying in Labconco FreeZone6 freeze-dryer.
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
